,LEMMA_PARENT,LEMMA_GRAND_PARENT,LEMMA_CHILD_1,LEMMA_CHILD_2,LEMMA_CHILD_3
82,de,criação,o,",",grupo
83,Guarda_Municipal,de,,,
84,grupo,Guarda_Municipal,,,
85,Guarda_Municipal,de,um,de,ter
86,grupo,Guarda_Municipal,atividade,,
87,de,grupo,especial,,
88,atividade,de,,,
89,ter,grupo,,,
90,grupo,Guarda_Municipal,que,atuar,
91,ter,grupo,mais,em,
92,atuar,ter,,,
93,atuar,ter,liberação,,
94,liberação,em,,,
95,em,atuar,o,de,
96,liberação,em,área,,
97,de,liberação,ocupar,,
98,ocupar,área,,,
99,área,de,tradicionalmente,por,
100,ocupar,área,camelô,,
101,por,ocupar,,,
102,citar,,,,
103,ser,contar,,,
104,contar,,«,reabilitar,ponto
105,ser,contar,,,
106,ponto,ser,,,
107,ser,contar,65,de,","
108,ponto,ser,cidade,,
109,cidade,de,,,
110,de,ponto,o,,
111,ponto,ser,,,
112,ponto,ser,como,e,virar
113,usar,ponto,ponto,,
114,como,usar,de,,
115,ponto,como,venda,,
116,de,ponto,de,,
117,venda,de,droga,,
118,de,venda,,,
119,usar,ponto,,,
120,virar,usar,,,
121,usar,ponto,que,quiosque,
122,virar,usar,de,,
123,quiosque,virar,flor,,
124,de,quiosque,,,
125,ser,contar,,,
126,contar,,,,
127,,,ser,",",maia
128,contar,,,,
129,contar,,,,
130,cliente,passar,,,
131,passar,,o,,
132,,,cliente,cartão,em
133,cartão,passar,,,
134,passar,,seu,de,Bradesco_Visa
135,cartão,passar,débito,ou,de
136,de,cartão,,,
137,de,cartão,,,
138,de,cartão,crédito,,
139,de,de,,,
140,cartão,passar,,,
141,passar,,terminal,,
142,terminal,em,,,
143,em,passar,o,de,
144,terminal,em,empresa,,
145,empresa,de,,,
146,de,terminal,o,conveniar,
147,empresa,de,,,
148,passar,,,,
149,passar,,data,,
150,data,fixar,,,
151,fixar,passar,o,de,
152,data,fixar,pagamento,,
153,de,data,de,,
154,pagamento,de,compra,,
155,compra,de,,,
156,de,pagamento,seu,,
157,passar,,,,
158,debitar,,data,,
159,data,em,,,
160,em,debitar,o,acordar,
161,data,em,,,
162,debitar,,,,
163,computador,debitar,,,
164,debitar,,o,de,
165,computador,debitar,Bradesco,,
166,Bradesco,de,,,
167,de,computador,o,,
168,,,em,",",computador
169,debitar,,,,
170,debitar,,,,
171,debitar,,,,
172,conta,debitar,,,
173,debitar,,o,de,
174,conta,debitar,cliente,,
175,cliente,de,,,
176,de,conta,o,,
177,debitar,,,,
178,debitar,,(,depósito,)
179,creditar,debitar,,,
180,creditar,debitar,,,
181,creditar,debitar,,,
182,empresa,creditar,,,
183,creditar,debitar,o,vendedor,
184,empresa,creditar,,,
185,debitar,,,,
186,ficar,,educação,,
187,sem,ficar,,,
188,ficar,,,,
189,ficar,,,,
190,,,sem,",",reforma
191,ficar,,,,
192,ficar,,,,
193,ficar,,,,
194,ficar,,,,
195,período,ser,,,
196,ser,,o,de,de
197,período,ser,tarde,,
198,tarde,de,,,
199,de,período,o,,
200,período,ser,Seminário_Internacional,,
201,Seminário_Internacional,de,,,
202,de,período,o,,
203,,,período,dominar,.
204,ser,,por,,
205,dominar,ser,conceito,,
206,conceito,por,,,
207,por,dominar,o,de,
208,conceito,por,Qualidade_Total,,
209,de,conceito,,,
210,ser,,,,
211,concentrar,,domingo,,
212,domingo,em,,,
213,em,concentrar,o,,
214,concentrar,,,,
215,concentrar,,Campos,,
216,em,concentrar,(,km,)
217,Campos,em,,,
218,km,Campos,,,
219,Campos,em,280,a,
220,km,Campos,norte,,
221,norte,a,,,
222,a,km,o,de,
223,norte,a,Rio,,
224,Rio,de,,,
225,de,norte,o,,
226,Campos,em,,,
227,concentrar,,,,
228,concentrar,,,,
229,,,em,",",em
230,crítica,concentrar,,,
231,concentrar,,o,,
232,concentrar,,Cardoso,,
233,em,concentrar,e,Lula,
234,Cardoso,em,,,
235,Cardoso,em,,,
236,concentrar,,,,
237,,,ser,.,
238,ser,dizer,,,
239,ser,dizer,,,
240,dizer,,que,FHC,incompetente
241,ser,dizer,administrativamente,,
242,incompetente,ser,,,
243,ser,dizer,,,
244,ser,ser,,,
245,ser,ser,,,
246,ser,dizer,que,Lula,inexperiente
247,ser,ser,,,
248,ser,dizer,,,
249,gostar,ser,,,
250,gostar,ser,,,
251,ser,dizer,que,não,de
252,gostar,ser,trabalhar,,
253,de,gostar,,,
254,dizer,,,,
255,haver,,organizador,,
256,organizador,segundo,,,
257,segundo,haver,o,,
258,haver,,,,
259,,,segundo,",",pessoa
260,pessoa,haver,,,
261,haver,,6.000,,
262,haver,,comício,,
263,comício,em,,,
264,em,haver,o,,
265,haver,,21h,,
266,21h,a,,,
267,a,haver,o,,
268,haver,,,,
269,falar,começar,,,
270,começar,haver,,,
271,haver,,Brizola,a,falar
272,começar,haver,,,
273,começar,haver,quando,,
274,haver,,,,
275,aplicação,sugerir,,,
276,sugerir,,o,de,
277,aplicação,sugerir,observação,,
278,observação,de,,,
279,de,aplicação,esse,a,
280,observação,de,caso,e,a
281,caso,a,,,
282,a,observação,o,americano,
283,caso,a,,,
284,a,observação,,,
285,a,observação,relação,,
286,relação,a,,,
287,a,a,o,entre,
288,relação,a,negro,,
289,entre,relação,e,branco,
290,negro,entre,,,
291,negro,entre,,,
292,,,aplicação,maneira,.
293,maneira,sugerir,,,
294,maneira,sugerir,,,
295,sugerir,,um,novo,de
296,maneira,sugerir,conceituar,,
297,de,maneira,argumento,,
298,argumento,conceituar,,,
299,conceituar,de,o,conhecer,
300,conhecer,argumento,,,
301,argumento,conceituar,já,de,
302,conhecer,argumento,legado,,
303,legado,de,,,
304,legado,de,,,
305,de,conhecer,o,«,de
306,legado,de,escravidão,,
307,escravidão,de,,,
308,de,legado,o,,
309,legado,de,,,
310,sugerir,,,,
311,terminar,abandonar,,,
312,terminar,abandonar,,,
313,abandonar,haver,quando,ele,","
314,terminar,abandonar,,,
315,terminar,abandonar,22h10,,
316,22h10,a,,,
317,a,terminar,o,,
318,haver,,,,
319,haver,,de,,
320,metade,haver,pessoa,,
321,pessoa,de,,,
322,de,metade,o,,
323,,,",",metade,abandonar
324,haver,,terminar,local,
325,local,abandonar,,,
326,abandonar,haver,o,,
327,haver,,,,
328,,,mudança,,
329,mudança,entender,,,
330,entender,,o,de,
331,mudança,entender,crise,,
332,crise,de,,,
333,crise,de,,,
334,de,mudança,o,«,de
335,crise,de,meia-idade,,
336,meia-idade,de,,,
337,de,crise,o,,
338,crise,de,,,
339,levar,,,,
340,mudança,levar,,,
341,levar,,o,em,
342,mudança,levar,vida,,
343,vida,em,,,
344,em,mudança,o,de,
345,vida,em,recém-aposentar,,
346,recém-aposentar,de,,,
347,de,vida,o,,
348,,,muitas_vezes,mudança,a
349,levar,,sensação,,
350,sensação,a,,,
351,a,levar,um,de,
352,sensação,a,perda,,
353,de,sensação,de,,
354,perda,de,capacidade,,
355,de,perda,,,
356,levar,,,,
357,mudança,coincidir,,,
358,coincidir,,esse,,
359,coincidir,,,,
360,,,mudança,geralmente,com
361,coincidir,,crise,,
362,crise,com,,,
363,crise,com,,,
364,com,coincidir,o,«,de
365,crise,com,idade,,
366,idade,de,,,
367,idade,de,,,
368,de,crise,o,meio,
369,crise,com,,,
370,crise,com,,,
371,ser,crise,,,
372,crise,com,que,definir,
373,ser,crise,não,,
374,definir,ser,por,",",mas
375,não,definir,faixa,,
376,faixa,por,,,
377,por,não,o,etário,
378,faixa,por,,,
379,não,definir,,,
380,não,definir,,,
381,não,definir,momento,,
382,momento,como,,,
383,momento,como,,,
384,como,não,um,certo,em
385,momento,como,reavaliar,,
386,reavaliar,em,,,
387,pessoa,reavaliar,,,
388,reavaliar,em,o,,
389,em,momento,que,pessoa,escolha
390,escolha,reavaliar,,,
391,reavaliar,em,o,fazer,
392,escolha,reavaliar,em,,
393,fazer,escolha,vida,,
394,vida,em,,,
395,vida,em,,,
396,em,fazer,o,seu,
397,coincidir,,,,
398,investir,,,,
399,organização,investir,,,
400,investir,,o,,
401,,,que,organização,tempo
402,tempo,investir,,,
403,investir,,muito,e,dinheiro
404,tempo,investir,,,
405,tempo,investir,,,
406,investir,,sensiblização,,
407,sensiblização,em,,,
408,em,investir,o,para,
409,sensiblização,em,programa,,
410,programa,para,,,
411,para,sensiblização,o,,
412,investir,,,,
413,ser,investir,,,
414,ser,investir,,,
415,ser,investir,,,
416,ser,investir,,,
417,investir,,que,",",agora
418,ser,investir,eles,,
419,com,ser,,,
420,investir,,,,
421,assistir,,,,
422,,,Zagalo,a,","
423,assistir,,jogo,,
424,jogo,a,,,
425,a,assistir,o,entre,
426,jogo,a,flamengo,,
427,entre,jogo,e,Corinthians,
428,flamengo,entre,,,
429,flamengo,entre,,,
430,assistir,,,,
431,assistir,,,,
432,assistir,,,,
433,assistir,,maracanã,,
434,maracanã,em,,,
435,em,assistir,o,,
436,assistir,,,,
437,,,jogador,.,
438,jogador,elogiar,,,
439,elogiar,,dois,flamenguista,e
440,jogador,elogiar,,,
441,jogador,elogiar,,,
442,corintiano,jogador,,,
443,jogador,elogiar,um,,
444,elogiar,,,,
445,tratar,,,,
446,tratar,,,,
447,,,não,se,simplesmente
448,tratar,,,,
449,tratar,,questão,,
450,questão,de,,,
451,de,tratar,o,de,
452,questão,de,ter,,
453,escravidão,ter,,,
454,ter,de,o,,
455,ter,ter,,,
456,de,questão,escravidão,ter,
457,ter,de,certamente,efeito,sobre
458,ter,ter,duradouro,,
459,efeito,ter,,,
460,ter,ter,cultura,,
461,cultura,sobre,,,
462,sobre,ter,o,negro,
463,cultura,sobre,,,
464,tratar,,,,
465,tratar,,de,,
466,nem_mesmo,tratar,ter,,
467,ter,de,,,
468,de,nem_mesmo,ela,exercer,
469,ter,de,efeito,sobre,
470,efeito,exercer,,,
471,efeito,exercer,,,
472,exercer,ter,um,amplo,negativo
473,efeito,exercer,,,
474,exercer,ter,confiança,,
475,confiança,sobre,,,
476,confiança,sobre,,,
477,sobre,exercer,o,auto-,e
478,confiança,sobre,,,
479,estima,confiança,,,
480,confiança,sobre,auto-,de,
481,estima,confiança,negro,,
482,negro,de,,,
483,de,estima,o,,
484,tratar,,,,
485,tratar,,,,
486,especificamente,tratar,,,
487,tratar,,mais,de,
488,especificamente,tratar,experiência,,
489,experiência,de,,,
490,de,especificamente,o,de,
491,experiência,de,ter,,
492,escravatura,ter,,,
493,ter,de,o,,
494,de,experiência,escravatura,desvirtuar,evolução
495,ter,de,e,tolher,
496,desvirtuar,ter,,,
497,desvirtuar,ter,,,
498,evolução,ter,,,
499,ter,de,o,de,
500,evolução,ter,algoritmo,,
501,algoritmo,de,,,
502,de,evolução,o,etnocêntrico,ter
503,algoritmo,de,,,
504,desenvolver,ter,,,
505,negro,ter,,,
506,ter,algoritmo,o,americano,
507,negro,ter,,,
508,algoritmo,de,negro,desenvolver,
509,ter,algoritmo,que,em,
510,desenvolver,ter,decorrer,,
511,decorrer,em,,,
512,em,desenvolver,o,normal,de
513,decorrer,em,,,
514,decorrer,em,acontecimento,,
515,acontecimento,de,,,
516,de,decorrer,o,,
517,tratar,,,,
518,ter,,de,,
519,primogênito,ter,Tsunezaemon_Maeda,,
520,de,primogênito,,,
521,ter,,,,
522,ter,,,,
523,,,primogênito,",",Takayuki
524,ano,ter,,,
525,ter,,três,,
526,chegar,ter,,,
527,pai,chegar,,,
528,chegar,ter,o,",",mãe
529,pai,chegar,,,
530,mãe,pai,,,
531,pai,chegar,o,,
532,pai,chegar,,,
533,irmão,pai,,,
534,pai,chegar,seis,,
535,ter,,quando,pai,a
536,chegar,ter,Ituverava,,
537,a,chegar,",",procedente,","
538,Ituverava,a,,,
539,Ituverava,a,de,,
540,procedente,Ituverava,Sagaken,,
541,de,procedente,,,
542,Ituverava,a,,,
543,chegar,ter,Japão,,
544,Japão,em,,,
545,em,chegar,o,,
546,chegar,ter,,,
547,chegar,ter,trabalhar,,
548,para,chegar,como,em,
549,trabalhar,para,colono,,
550,como,trabalhar,,,
551,trabalhar,para,fazenda,,
552,fazenda,em,,,
553,em,trabalhar,o,Santa_Tereza,
554,fazenda,em,,,
555,ter,,,,
556,distinguir,,Arnaldo_Leite,,
557,segundo,distinguir,",",coordenador,
558,Arnaldo_Leite,segundo,,,
559,Arnaldo_Leite,segundo,de,,
560,coordenador,Arnaldo_Leite,Programa_de_Capacitação_Gerencial,,
561,Programa_de_Capacitação_Gerencial,de,,,
562,de,coordenador,o,de,
563,Programa_de_Capacitação_Gerencial,de,Sebrae,,
564,Sebrae,de,,,
565,de,Programa_de_Capacitação_Gerencial,o,(,Serviço_Brasileiro_de_Apoio_às_Micro_e_Pequenas_Empresas
566,Sebrae,de,,,
567,Sebrae,de,,,
568,Sebrae,de,,,
569,distinguir,,,,
570,programa,distinguir,,,
571,distinguir,,o,,
572,distinguir,,,,
573,,,segundo,",",programa
574,distinguir,,similar,,
575,de,distinguir,de,,
576,similar,de,estado,,
577,estado,de,,,
578,de,similar,outro,,
579,distinguir,,ter,,
580,por,distinguir,aval,,
581,ter,por,prévio,de,
582,aval,ter,,,
583,aval,ter,Tribunal_de_Contas,,
584,Tribunal_de_Contas,de,,,
585,de,aval,o,,
586,distinguir,,,,
587,considerar,,com,,
588,de_acordo,considerar,Leite,,
589,com,de_acordo,,,
590,considerar,,,,
591,tc,considerar,,,
592,considerar,,o,,
593,,,de_acordo,",",tc
594,considerar,,,,
595,licitação,considerar,,,
596,considerar,,o,em,
597,licitação,considerar,operação,,
598,operação,em,,,
599,em,licitação,o,de,
600,operação,em,programa,,
601,programa,de,,,
602,de,operação,o,,
603,ser,considerar,,,
604,Sebrae,ser,,,
605,ser,considerar,o,,
606,considerar,,porque,Sebrae,entidade
607,entidade,ser,,,
608,ser,considerar,um,civil,sem
609,entidade,ser,,,
610,entidade,ser,fim,,
611,sem,entidade,lucrativo,,
612,fim,sem,,,
613,considerar,,,,
614,zerar,,tarde,,
615,tarde,em,,,
616,em,zerar,o,de,
617,tarde,em,ontem,,
618,de,tarde,,,
619,zerar,,,,
620,zerar,,jornalista,,
621,jornalista,diante_de,,,
622,diante_de,zerar,dezenas_de,,
623,zerar,,,,
624,zerar,,,,
625,zerar,,,,
626,,,em,",",diante_de
627,zerar,,,,
628,computador,zerar,,,
629,zerar,,o,de,
630,computador,zerar,Justiça_Eleitoral,,
631,Justiça_Eleitoral,de,,,
632,de,computador,o,,
633,zerar,,,,
634,usar,ser,,,
635,ser,,,,
636,,,",",usar,computador
637,ser,,ao_todo,,
638,computador,ser,,,
639,computador,ser,,,
640,ser,,cerca_de,5.800,
641,ser,,,,
642,estar,,de,,
643,o,estar,porte,,
644,porte,de,,,
645,de,o,grande,,
646,,,o,em,.
647,estar,,TREs,e,em
648,TREs,em,,,
649,em,estar,o,(,Tribunais_Regionais_Eleitorais
650,TREs,em,,,
651,TREs,em,,,
652,TREs,em,,,
653,em,estar,,,
654,em,estar,TSE,,
655,TSE,em,,,
656,em,em,o,,
657,estar,,,,
658,liberar,,,,
659,,,prefeitura,sala,
660,sala,liberar,,,
661,liberar,,10,,
662,Contru,desinterditar,,,
663,desinterditar,,o,(,Departamento_de_Controle_e_Uso_de_Imóveis
664,Contru,desinterditar,,,
665,Contru,desinterditar,,,
666,Contru,desinterditar,,,
667,,,Contru,ontem,sala
668,desinterditar,,,,
669,sala,desinterditar,,,
670,desinterditar,,dez,de,
671,sala,desinterditar,cinema,,
672,de,sala,,,
673,desinterditar,,,,
674,branco,fazer,,,
675,fazer,,o,,
676,,,branco,tudo,em
677,fazer,,,,
678,fazer,,poder,para,
679,poder,em,,,
680,em,fazer,seu,,
681,em,fazer,invalidar,,
682,para,em,ou,menosprezar,sinal
683,invalidar,para,,,
684,invalidar,para,,,
685,sinal,invalidar,,,
686,invalidar,para,cada,de,
687,sinal,invalidar,talento,,
688,de,sinal,",",virtude,ou
689,talento,de,,,
690,talento,de,,,
691,talento,de,,,
692,talento,de,,,
693,talento,de,negro,,
694,negro,entre,,,
695,entre,talento,o,,
696,fazer,,,,
697,registrar,afirmar,,,
698,afirmar,,elas,produção,
699,produção,registrar,,,
700,registrar,afirmar,um,por,alto
701,produção,registrar,hora,,
702,por,produção,de,,
703,hora,por,trabalho,,
704,de,hora,,,
705,%,alto,,,
706,alto,produção,43,,
707,produção,registrar,%,a,
708,alto,produção,demais,,
709,demais,a,,,
710,a,alto,o,,
711,afirmar,,,,
712,afirmar,,,,
713,,,registrar,»,","
714,relatório,afirmar,,,
715,afirmar,,o,,
716,afirmar,,,,
717,frequência,revelar,,,
718,revelar,,o,em,
719,frequência,revelar,entrega,,
720,entrega,em,,,
721,em,frequência,o,de,
722,entrega,em,mercadoria,,
723,de,entrega,para,,
724,mercadoria,de,cliente,,
725,cliente,para,,,
726,para,mercadoria,o,,
727,revelar,,,,
728,,,frequência,também,diferença
729,diferença,revelar,,,
730,revelar,,grande,entre,
731,diferença,revelar,empresa,,
732,empresa,entre,,,
733,entre,diferença,o,«,world_class
734,empresa,entre,,,
735,empresa,entre,,,
736,empresa,entre,,,
737,empresa,entre,,,
738,concorrente,empresa,,,
739,empresa,entre,o,,
740,revelar,,,,
741,auxiliar,pedir,,,
742,auxiliar,pedir,,,
743,pedir,,o,ex-,de
744,auxiliar,pedir,produção,,
745,de,auxiliar,em,,
746,produção,de,cervejaria,,
747,em,produção,,,
748,auxiliar,pedir,,,
749,auxiliar,pedir,,,
750,auxiliar,pedir,,,
751,auxiliar,pedir,,,
752,auxiliar,pedir,com,,
753,casar,auxiliar,filho,,
754,filho,com,,,
755,com,casar,um,,
756,auxiliar,pedir,,,
757,,,auxiliar,informação,.
758,informação,pedir,,,
759,pedir,,muito,sobre,
760,informação,pedir,abrigo,,
761,abrigo,sobre,,,
762,sobre,informação,o,,
763,pedir,,,,
764,dar,,,,
765,dar,,,,
766,,,«,eles,comida
767,dar,,,,
768,dar,,gente,,
769,gente,para,,,
770,para,dar,o,,
771,dar,,lugar,,
772,lugar,em,,,
773,em,dar,esse,,
774,dar,,,,
775,,,cobertor,?,»
776,dar,,,,
777,dar,,,,
778,dar,,,,
779,ter,,,,
780,,,eles,que,fazer
781,ter,,,,
782,ter,,isso,ser,
783,fazer,ter,,,
784,ser,fazer,,,
785,escravo,ser,,,
786,ser,fazer,o,,
787,fazer,ter,se,escravo,alto
788,ser,fazer,em,valorizar,
789,alto,ser,qualidade,,
790,em,alto,,,
791,valorizar,alto,,,
792,branco,valorizar,,,
793,branco,valorizar,,,
794,valorizar,alto,o,próprio,
795,alto,ser,que,branco,
796,ter,,,,
797,estar,ter,,,
798,ter,,onde,justificativa,
799,justificativa,estar,,,
800,estar,ter,o,moral,para
801,justificativa,estar,,,
802,justificativa,estar,manter,,
803,para,justificativa,eles,escravizar,
804,manter,para,,,
805,manter,para,,,
806,ter,,,,
807,advogado,dizer,,,
808,dizer,,o,Waldir_de_Arruda_Miranda_Carneiro,
809,advogado,dizer,",",especializar,
810,Waldir_de_Arruda_Miranda_Carneiro,advogado,,,
811,Waldir_de_Arruda_Miranda_Carneiro,advogado,em,,
812,especializar,Waldir_de_Arruda_Miranda_Carneiro,locação,,
813,em,especializar,,,
814,,,advogado,poder,.
815,poder,dizer,,,
816,conversão,poder,,,
817,poder,dizer,o,espontâneo,
818,conversão,poder,,,
819,dizer,,que,conversão,ser
820,poder,dizer,interessante,depender,
821,ser,poder,,,
822,ser,poder,de,,
823,depender,ser,negociação,,
824,negociação,de,,,
825,de,depender,o,entre,
826,negociação,de,parte,,
827,parte,entre,,,
828,entre,negociação,o,,
829,dizer,,,,
830,ser,dizer,,,
831,conseguir,ser,,,
832,inquilino,conseguir,,,
833,conseguir,ser,o,,
834,ser,dizer,se,inquilino,desconto
835,desconto,conseguir,,,
836,desconto,conseguir,,,
837,conseguir,ser,um,bom,
838,conseguir,ser,hora,,
839,hora,em,,,
840,em,conseguir,o,de,
841,hora,em,mudança,,
842,mudança,de,,,
843,de,hora,o,de,de
844,mudança,de,aluguel,,
845,aluguel,de,,,
846,de,mudança,o,,
847,mudança,de,cruzeiro,para,
848,de,mudança,real,,
849,cruzeiro,de,,,
850,de,mudança,URV,,
851,para,de,,,
852,dizer,,«,conseguir,negócio
853,ser,dizer,para,,
854,negócio,ser,ele,,
855,para,negócio,,,
856,ser,dizer,,,
857,dizer,,,,
858,,,ser,",",.
859,dizer,,,,
860,explicar,,saber,ser,
861,saber,isso,,,
862,saber,isso,,,
863,isso,explicar,porque,ninguém,
864,ser,isso,,,
865,isso,explicar,qual,critério,
866,critério,ser,,,
867,ser,isso,o,de,
868,critério,ser,conversão,,
869,conversão,de,,,
870,de,critério,o,automático,
871,conversão,de,,,
872,explicar,,,,
873,,,isso,",",.
874,explicar,,,,
875,gostar,dever,,,
876,dever,,quem,de,
877,gostar,dever,comida,,
878,de,gostar,italiano,,
879,comida,de,,,
880,dever,,,,
881,,,gostar,",",experimentar
882,dever,,Christo\'s,,
883,Christo\'s,experimentar,,,
884,experimentar,dever,o,(,Lexington
885,Christo\'s,experimentar,,,
886,Christo\'s,experimentar,",",esquina,
887,Lexington,Christo\'s,,,
888,esquina,Lexington,,,
889,Lexington,Christo\'s,quase,com,
890,esquina,Lexington,rua_49,,
891,rua_49,com,,,
892,com,esquina,o,,
893,Christo\'s,experimentar,,,
894,dever,,,,
895,cardápio,variar,,,
896,variar,,o,,
897,,,cardápio,entre,.
898,variar,,prato,,
899,entre,variar,de,(,cerca_de
900,prato,entre,massa,,
901,de,prato,al_dente,,
902,massa,de,,,
903,prato,entre,,,
904,prato,entre,US$,,
905,cerca_de,prato,15,,
906,US$,cerca_de,,,
907,prato,entre,,,
908,prato,entre,,,
909,prato,entre,grelhar,(,US$
910,peixe,prato,,,
911,peixe,prato,,,
912,peixe,prato,20,,
913,US$,peixe,,,
914,peixe,prato,,,
915,variar,,,,
916,colocar,ser,,,
917,ter,,,,
918,colocar,ser,,,
919,ter,,,,
920,o,ter,,,
921,ter,,tudo,fazer,
922,fazer,o,,,
923,afro-americano,fazer,,,
924,fazer,o,o,,
925,o,ter,que,afro-americano,bem
926,fazer,o,,,
927,,,",",",",o
928,ter,,,,
929,ter,,colocar,,
930,ser,ter,e,assim,em
931,colocar,ser,termo,,
932,em,colocar,menosprezar,,
933,menosprezar,termo,,,
934,termo,em,que,qualidade,
935,qualidade,menosprezar,,,
936,menosprezar,termo,o,em_questão,
937,qualidade,menosprezar,,,
938,ter,,,,
939,,,algo,em,.
940,haver,,de,,
941,algo,haver,novo,,
942,de,algo,,,
943,haver,,filme,,
944,filme,em,,,
945,filme,em,,,
946,em,haver,este,quatro,fazer
947,fazer,filme,,,
948,fazer,filme,,,
949,filme,em,que,Cacá_Diegues,para
950,fazer,filme,TV_Cultura,,
951,TV_Cultura,para,,,
952,para,fazer,o,,
953,fazer,filme,,,
954,fazer,filme,canção,,
955,canção,em_cima_de,,,
956,em_cima_de,fazer,quatro,de,
957,canção,em_cima_de,Gil,,
958,de,canção,",",Caetano,","
959,Gil,de,,,
960,Gil,de,,,
961,Gil,de,,,
962,Gil,de,,,
963,Gil,de,,,
964,Gil,de,,,
965,haver,,,,
966,querer,dizer,,,
967,dizer,,«,também,negociar
968,querer,dizer,,,
969,querer,dizer,com,rentabilidade,
970,negociar,querer,indústria,,
971,indústria,com,,,
972,com,negociar,o,,
973,negociar,querer,pequeno,de,
974,rentabilidade,negociar,,,
975,rentabilidade,negociar,%,,
976,%,de,,,
977,de,rentabilidade,15,,
978,querer,dizer,,,
979,dizer,,,,
980,,,querer,",",Araújo
981,dizer,,,,
982,dizer,,,,
983,dia,reclamar,,,
984,reclamar,,outro,mesmo,
985,dia,reclamar,,,
986,reclamar,,,,
987,reclamar,,copa,,
988,copa,durante,,,
989,durante,reclamar,o,,
990,reclamar,,,,
991,jornalista,reclamar,,,
992,reclamar,,um,inglês,escrever
993,jornalista,reclamar,,,
994,escrever,jornalista,,,
995,jornalista,reclamar,que,sobre,para
996,escrever,jornalista,futebol,,
997,futebol,sobre,,,
998,sobre,escrever,o,,
999,escrever,jornalista,jornal,,
1000,jornal,para,,,
1001,jornal,para,,,
1002,para,escrever,o,principal,de
1003,jornal,para,mundo,,
1004,mundo,de,,,
1005,de,jornal,o,,
1006,reclamar,,,,
1007,,,dia,",",durante
1008,reclamar,,autor,,
1009,autor,de,,,
1010,autor,de,,,
1011,de,reclamar,o,pouco,de
1012,autor,de,expressão,,
1013,de,autor,,,
1014,escrever,autor,,,
1015,autor,de,que,sobre,
1016,escrever,autor,fut,,
1017,fut,sobre,,,
1018,sobre,escrever,o,,
1019,reclamar,,,,
1020,agente,estar,,,
1021,estar,,o,de,
1022,agente,estar,turismo,,
1023,de,agente,de,,
1024,turismo,de,Japão,,
1025,Japão,de,,,
1026,de,turismo,o,,
1027,,,agente,dar,.
1028,estar,,trato,a,para
1029,dar,estar,,,
1030,dar,estar,bola,,
1031,bola,a,,,
1032,a,dar,o,,
1033,dar,estar,tour,,
1034,tour,para,,,
1035,para,dar,novo,em,
1036,tour,para,solo,,
1037,em,tour,brasileiro,,
1038,solo,em,,,
1039,estar,,,,
1040,,,organizar,.,
1041,querer,,pacote,,
1042,organizar,querer,para,,
1043,pacote,organizar,visita,,
1044,para,pacote,a,,
1045,visita,para,túmulo,,
1046,túmulo,a,,,
1047,a,visita,o,de,
1048,túmulo,a,tricampeão,,
1049,tricampeão,de,,,
1050,de,túmulo,o,Ayrton_Senna,
1051,tricampeão,de,favorito,,
1052,favorito,Ayrton_Senna,,,
