,FORM_PARENT,FORM_GRAND_PARENT,FORM_CHILD_1,FORM_CHILD_2,FORM_CHILD_3
353,de,sensação,de,,
354,perda,de,capacidade,,
355,de,perda,,,
356,levam,,,,
357,mudanças,coincidem,,,
358,coincidem,,Essas,,
359,coincidem,,,,
360,,,mudanças,geralmente,com
361,coincidem,,crise,,
362,crise,com,,,
363,crise,com,,,
364,com,coincidem,a,«,de
365,crise,com,idade,,
366,idade,de,,,
367,idade,de,,,
368,de,crise,a,meia,
369,crise,com,,,
370,crise,com,,,
371,é,crise,,,
372,crise,com,que,definida,
373,é,crise,não,,
374,definida,é,por,",",mas
375,não,definida,faixa,,
376,faixa,por,,,
377,por,não,a,etária,
378,faixa,por,,,
379,não,definida,,,
380,não,definida,,,
381,não,definida,momento,,
382,momento,como,,,
383,momento,como,,,
384,como,não,um,certo,em
385,momento,como,reavaliam,,
386,reavaliam,em,,,
387,pessoas,reavaliam,,,
388,reavaliam,em,as,,
389,em,momento,que,pessoas,escolhas
390,escolhas,reavaliam,,,
391,reavaliam,em,as,feitas,
392,escolhas,reavaliam,em,,
393,feitas,escolhas,vida,,
394,vida,em,,,
395,vida,em,,,
396,em,feitas,a,sua,
397,coincidem,,,,
398,investiu,,,,
399,organização,investiu,,,
400,investiu,,a,,
401,,,Que,organização,tempo
402,tempo,investiu,,,
403,investiu,,muito,e,dinheiro
404,tempo,investiu,,,
405,tempo,investiu,,,
406,investiu,,sensiblização,,
407,sensiblização,em,,,
408,em,investiu,a,para,
409,sensiblização,em,programa,,
410,programa,para,,,
411,para,sensiblização,o,,
412,investiu,,,,
413,é,investiu,,,
414,é,investiu,,,
415,é,investiu,,,
416,é,investiu,,,
417,investiu,,que,",",agora
418,é,investiu,eles,,
419,com,é,,,
420,investiu,,,,
421,assistiu,,,,
422,,,Zagalo,a,","
423,assistiu,,jogo,,
424,jogo,a,,,
425,a,assistiu,o,entre,
426,jogo,a,Flamengo,,
427,entre,jogo,e,Corinthians,
428,Flamengo,entre,,,
429,Flamengo,entre,,,
430,assistiu,,,,
431,assistiu,,,,
432,assistiu,,,,
433,assistiu,,Maracanã,,
434,Maracanã,em,,,
435,em,assistiu,o,,
436,assistiu,,,,
437,,,jogadores,.,
438,jogadores,Elogiou,,,
439,Elogiou,,dois,flamenguistas,e
440,jogadores,Elogiou,,,
441,jogadores,Elogiou,,,
442,corintiano,jogadores,,,
443,jogadores,Elogiou,um,,
444,Elogiou,,,,
445,trata,,,,
446,trata,,,,
447,,,Não,se,simplesmente
448,trata,,,,
449,trata,,questão,,
450,questão,de,,,
451,de,trata,a,de,
452,questão,de,ter,,
453,escravidão,ter,,,
454,ter,de,a,,
455,tido,ter,,,
456,de,questão,escravidão,tido,
457,ter,de,certamente,efeitos,sobre
458,tido,ter,duradouros,,
459,efeitos,tido,,,
460,tido,ter,cultura,,
461,cultura,sobre,,,
462,sobre,tido,a,negra,
463,cultura,sobre,,,
464,trata,,,,
465,trata,,de,,
466,nem_mesmo,trata,ter,,
467,ter,de,,,
468,de,nem_mesmo,ela,exercido,
469,ter,de,efeito,sobre,
470,efeito,exercido,,,
471,efeito,exercido,,,
472,exercido,ter,um,amplo,negativo
473,efeito,exercido,,,
474,exercido,ter,confiança,,
475,confiança,sobre,,,
476,confiança,sobre,,,
477,sobre,exercido,a,auto-,e
478,confiança,sobre,,,
479,estima,confiança,,,
480,confiança,sobre,auto-,de,
481,estima,confiança,negros,,
482,negros,de,,,
483,de,estima,os,,
484,trata,,,,
485,trata,,,,
486,especificamente,trata,,,
487,trata,,mais,de,
488,especificamente,trata,experiência,,
489,experiência,de,,,
490,de,especificamente,a,de,
491,experiência,de,ter,,
492,escravatura,ter,,,
493,ter,de,a,,
494,de,experiência,escravatura,desvirtuado,evolução
495,ter,de,e,tolhido,
496,desvirtuado,ter,,,
497,desvirtuado,ter,,,
498,evolução,ter,,,
499,ter,de,a,de,
500,evolução,ter,algoritmo,,
501,algoritmo,de,,,
502,de,evolução,o,etnocêntrico,teriam
503,algoritmo,de,,,
504,desenvolvido,teriam,,,
505,negros,teriam,,,
506,teriam,algoritmo,os,americanos,
507,negros,teriam,,,
508,algoritmo,de,negros,desenvolvido,
509,teriam,algoritmo,que,em,
510,desenvolvido,teriam,decorrer,,
511,decorrer,em,,,
512,em,desenvolvido,o,normal,de
513,decorrer,em,,,
514,decorrer,em,acontecimentos,,
515,acontecimentos,de,,,
516,de,decorrer,os,,
517,trata,,,,
518,tinha,,de,,
519,Primogênito,tinha,Tsunezaemon_Maeda,,
520,de,Primogênito,,,
521,tinha,,,,
522,tinha,,,,
523,,,Primogênito,",",Takayuki
524,anos,tinha,,,
525,tinha,,três,,
526,chegaram,tinha,,,
527,pai,chegaram,,,
528,chegaram,tinha,o,",",mãe
529,pai,chegaram,,,
530,mãe,pai,,,
531,pai,chegaram,a,,
532,pai,chegaram,,,
533,irmãos,pai,,,
534,pai,chegaram,seis,,
535,tinha,,quando,pai,a
536,chegaram,tinha,Ituverava,,
537,a,chegaram,",",procedente,","
538,Ituverava,a,,,
539,Ituverava,a,de,,
540,procedente,Ituverava,Sagaken,,
541,de,procedente,,,
542,Ituverava,a,,,
543,chegaram,tinha,Japão,,
544,Japão,em,,,
545,em,chegaram,o,,
546,chegaram,tinha,,,
547,chegaram,tinha,trabalhar,,
548,para,chegaram,como,em,
549,trabalhar,para,colonos,,
550,como,trabalhar,,,
551,trabalhar,para,fazenda,,
552,fazenda,em,,,
553,em,trabalhar,a,Santa_Tereza,
554,fazenda,em,,,
555,tinha,,,,
556,distingue,,Arnaldo_Leite,,
557,Segundo,distingue,",",coordenador,
558,Arnaldo_Leite,Segundo,,,
559,Arnaldo_Leite,Segundo,de,,
560,coordenador,Arnaldo_Leite,Programa_de_Capacitação_Gerencial,,
561,Programa_de_Capacitação_Gerencial,de,,,
562,de,coordenador,o,de,
563,Programa_de_Capacitação_Gerencial,de,Sebrae,,
564,Sebrae,de,,,
565,de,Programa_de_Capacitação_Gerencial,o,(,Serviço_Brasileiro_de_Apoio_às_Micro_e_Pequenas_Empresas
566,Sebrae,de,,,
567,Sebrae,de,,,
568,Sebrae,de,,,
569,distingue,,,,
570,programa,distingue,,,
571,distingue,,o,,
572,distingue,,,,
573,,,Segundo,",",programa
574,distingue,,similares,,
575,de,distingue,de,,
576,similares,de,Estados,,
577,Estados,de,,,
578,de,similares,outros,,
579,distingue,,ter,,
580,por,distingue,aval,,
581,ter,por,prévio,de,
582,aval,ter,,,
583,aval,ter,Tribunal_de_Contas,,
584,Tribunal_de_Contas,de,,,
585,de,aval,o,,
586,distingue,,,,
587,considerou,,com,,
588,De_acordo,considerou,Leite,,
589,com,De_acordo,,,
590,considerou,,,,
591,Tc,considerou,,,
592,considerou,,o,,
593,,,De_acordo,",",Tc
594,considerou,,,,
595,licitações,considerou,,,
596,considerou,,as,em,
597,licitações,considerou,operações,,
598,operações,em,,,
599,em,licitações,as,de,
600,operações,em,programa,,
601,programa,de,,,
602,de,operações,o,,
603,é,considerou,,,
604,Sebrae,é,,,
605,é,considerou,o,,
606,considerou,,porque,Sebrae,entidade
607,entidade,é,,,
608,é,considerou,uma,civil,sem
609,entidade,é,,,
610,entidade,é,fins,,
611,sem,entidade,lucrativos,,
612,fins,sem,,,
613,considerou,,,,
614,zerou,,tarde,,
615,tarde,Em,,,
616,Em,zerou,a,de,
617,tarde,Em,ontem,,
618,de,tarde,,,
619,zerou,,,,
620,zerou,,jornalistas,,
621,jornalistas,diante_de,,,
622,diante_de,zerou,dezenas_de,,
623,zerou,,,,
624,zerou,,,,
625,zerou,,,,
626,,,Em,",",diante_de
627,zerou,,,,
628,computadores,zerou,,,
629,zerou,,os,de,
630,computadores,zerou,Justiça_Eleitoral,,
631,Justiça_Eleitoral,de,,,
632,de,computadores,a,,
633,zerou,,,,
634,usados,serão,,,
635,serão,,,,
636,,,",",usados,computadores
637,serão,,Ao_todo,,
638,computadores,serão,,,
639,computadores,serão,,,
640,serão,,cerca_de,5.800,
641,serão,,,,
642,estão,,de,,
643,Os,estão,porte,,
644,porte,de,,,
645,de,Os,maior,,
646,,,Os,em,.
647,estão,,TREs,e,em
648,TREs,em,,,
649,em,estão,os,(,Tribunais_Regionais_Eleitorais
650,TREs,em,,,
651,TREs,em,,,
652,TREs,em,,,
653,em,estão,,,
654,em,estão,TSE,,
655,TSE,em,,,
656,em,em,o,,
657,estão,,,,
658,libera,,,,
659,,,Prefeitura,salas,
660,salas,libera,,,
661,libera,,10,,
662,Contru,desinterditou,,,
663,desinterditou,,O,(,Departamento_de_Controle_e_Uso_de_Imóveis
664,Contru,desinterditou,,,
665,Contru,desinterditou,,,
666,Contru,desinterditou,,,
667,,,Contru,ontem,salas
668,desinterditou,,,,
669,salas,desinterditou,,,
670,desinterditou,,dez,de,
671,salas,desinterditou,cinema,,
672,de,salas,,,
673,desinterditou,,,,
674,brancos,fizeram,,,
675,fizeram,,Os,,
676,,,brancos,tudo,em
677,fizeram,,,,
678,fizeram,,poder,para,
679,poder,em,,,
680,em,fizeram,seu,,
681,em,fizeram,invalidar,,
682,para,em,ou,menosprezar,sinal
683,invalidar,para,,,
684,invalidar,para,,,
685,sinal,invalidar,,,
686,invalidar,para,cada,de,
687,sinal,invalidar,talento,,
688,de,sinal,",",virtude,ou
689,talento,de,,,
690,talento,de,,,
691,talento,de,,,
692,talento,de,,,
693,talento,de,negros,,
694,negros,entre,,,
695,entre,talento,os,,
696,fizeram,,,,
697,registraram,afirma,,,
698,afirma,,Elas,produção,
699,produção,registraram,,,
700,registraram,afirma,uma,por,superior
701,produção,registraram,hora,,
702,por,produção,de,,
703,hora,por,trabalho,,
704,de,hora,,,
705,%,superior,,,
706,superior,produção,43,,
707,produção,registraram,%,a,
708,superior,produção,demais,,
709,demais,a,,,
710,a,superior,as,,
711,afirma,,,,
712,afirma,,,,
713,,,registraram,»,","
714,relatório,afirma,,,
715,afirma,,o,,
716,afirma,,,,
717,frequência,revela,,,
718,revela,,A,em,
719,frequência,revela,entrega,,
720,entrega,em,,,
721,em,frequência,a,de,
722,entrega,em,mercadorias,,
723,de,entrega,para,,
724,mercadorias,de,clientes,,
725,clientes,para,,,
726,para,mercadorias,os,,
727,revela,,,,
728,,,frequência,também,diferenças
729,diferenças,revela,,,
730,revela,,grandes,entre,
731,diferenças,revela,empresas,,
732,empresas,entre,,,
733,entre,diferenças,as,«,world_class
734,empresas,entre,,,
735,empresas,entre,,,
736,empresas,entre,,,
737,empresas,entre,,,
738,concorrentes,empresas,,,
739,empresas,entre,as,,
740,revela,,,,
741,auxiliar,pedia,,,
742,auxiliar,pedia,,,
743,pedia,,O,ex-,de
744,auxiliar,pedia,produção,,
745,de,auxiliar,em,,
746,produção,de,cervejarias,,
747,em,produção,,,
748,auxiliar,pedia,,,
749,auxiliar,pedia,,,
750,auxiliar,pedia,,,
751,auxiliar,pedia,,,
752,auxiliar,pedia,com,,
753,casado,auxiliar,filho,,
754,filho,com,,,
755,com,casado,um,,
756,auxiliar,pedia,,,
757,,,auxiliar,informações,.
758,informações,pedia,,,
759,pedia,,mais,sobre,
760,informações,pedia,abrigo,,
761,abrigo,sobre,,,
762,sobre,informações,o,,
763,pedia,,,,
764,dão,,,,
765,dão,,,,
766,,,«,Eles,comida
767,dão,,,,
768,dão,,gente,,
769,gente,para,,,
770,para,dão,a,,
771,dão,,lugar,,
772,lugar,em,,,
773,em,dão,esse,,
774,dão,,,,
775,,,cobertor,?,»
776,Dão,,,,
777,Dão,,,,
778,Dão,,,,
779,tiveram,,,,
780,,,Eles,que,fazer
781,tiveram,,,,
782,tiveram,,isso,fossem,
783,fazer,tiveram,,,
784,fossem,fazer,,,
785,escravos,fossem,,,
786,fossem,fazer,os,,
787,fazer,tiveram,se,escravos,superiores
788,fossem,fazer,em,valorizavam,
789,superiores,fossem,qualidades,,
790,em,superiores,,,
791,valorizavam,superiores,,,
792,brancos,valorizavam,,,
793,brancos,valorizavam,,,
794,valorizavam,superiores,os,próprios,
795,superiores,fossem,que,brancos,
796,tiveram,,,,
797,estaria,tiveram,,,
798,tiveram,,onde,justificativa,
799,justificativa,estaria,,,
800,estaria,tiveram,a,moral,para
801,justificativa,estaria,,,
802,justificativa,estaria,mantê-,,
803,para,justificativa,los,escravizados,
804,mantê-,para,,,
805,mantê-,para,,,
806,tiveram,,,,
807,advogado,diz,,,
808,diz,,O,Waldir_de_Arruda_Miranda_Carneiro,
809,advogado,diz,",",especializado,
810,Waldir_de_Arruda_Miranda_Carneiro,advogado,,,
811,Waldir_de_Arruda_Miranda_Carneiro,advogado,em,,
812,especializado,Waldir_de_Arruda_Miranda_Carneiro,locação,,
813,em,especializado,,,
814,,,advogado,pode,.
815,pode,diz,,,
816,conversão,pode,,,
817,pode,diz,a,espontânea,
818,conversão,pode,,,
819,diz,,que,conversão,ser
820,pode,diz,interessante,dependendo,
821,ser,pode,,,
822,ser,pode,de,,
823,dependendo,ser,negociação,,
824,negociação,de,,,
825,de,dependendo,a,entre,
826,negociação,de,partes,,
827,partes,entre,,,
828,entre,negociação,as,,
829,diz,,,,
830,é,diz,,,
831,conseguir,é,,,
832,inquilino,conseguir,,,
833,conseguir,é,o,,
834,é,diz,Se,inquilino,desconto
835,desconto,conseguir,,,
836,desconto,conseguir,,,
837,conseguir,é,um,bom,
838,conseguir,é,hora,,
839,hora,em,,,
840,em,conseguir,a,de,
841,hora,em,mudança,,
842,mudança,de,,,
843,de,hora,a,de,de
844,mudança,de,aluguel,,
845,aluguel,de,,,
846,de,mudança,o,,
847,mudança,de,cruzeiros,para,
848,de,mudança,reais,,
849,cruzeiros,de,,,
850,de,mudança,URV,,
851,para,de,,,
852,diz,,«,conseguir,negócio
853,é,diz,para,,
854,negócio,é,ele,,
855,para,negócio,,,
856,é,diz,,,
857,diz,,,,
858,,,é,",",.
859,diz,,,,
860,explica,,sabe,serão,
861,sabe,Isso,,,
862,sabe,Isso,,,
863,Isso,explica,porque,ninguém,
864,serão,Isso,,,
865,Isso,explica,quais,critérios,
866,critérios,serão,,,
867,serão,Isso,os,de,
868,critérios,serão,conversão,,
869,conversão,de,,,
870,de,critérios,a,automática,
871,conversão,de,,,
872,explica,,,,
873,,,Isso,",",.
874,explica,,,,
875,gosta,deve,,,
876,deve,,Quem,de,
877,gosta,deve,comida,,
878,de,gosta,italiana,,
879,comida,de,,,
880,deve,,,,
881,,,gosta,",",experimentar
882,deve,,Christo's,,
883,Christo's,experimentar,,,
884,experimentar,deve,o,(,Lexington
885,Christo's,experimentar,,,
886,Christo's,experimentar,",",esquina,
887,Lexington,Christo's,,,
888,esquina,Lexington,,,
889,Lexington,Christo's,quase,com,
890,esquina,Lexington,rua_49,,
891,rua_49,com,,,
892,com,esquina,a,,
893,Christo's,experimentar,,,
894,deve,,,,
895,cardápio,varia,,,
896,varia,,O,,
897,,,cardápio,entre,.
898,varia,,pratos,,
899,entre,varia,de,(,cerca_de
900,pratos,entre,massa,,
901,de,pratos,al_dente,,
902,massa,de,,,
903,pratos,entre,,,
904,pratos,entre,US$,,
905,cerca_de,pratos,15,,
906,US$,cerca_de,,,
907,pratos,entre,,,
908,pratos,entre,,,
909,pratos,entre,grelhados,(,US$
910,peixes,pratos,,,
911,peixes,pratos,,,
912,peixes,pratos,20,,
913,US$,peixes,,,
914,peixes,pratos,,,
915,varia,,,,
916,colocado,ser,,,
917,teve,,,,
918,colocado,ser,,,
919,teve,,,,
920,o,teve,,,
921,teve,,tudo,faziam,
922,faziam,o,,,
923,afro-americanos,faziam,,,
924,faziam,o,os,,
925,o,teve,que,afro-americanos,bem
926,faziam,o,,,
927,,,",",",",o
928,teve,,,,
929,teve,,colocado,,
930,ser,teve,E,assim,em
931,colocado,ser,termos,,
932,em,colocado,menosprezassem,,
933,menosprezassem,termos,,,
934,termos,em,que,qualidade,
935,qualidade,menosprezassem,,,
936,menosprezassem,termos,a,em_questão,
937,qualidade,menosprezassem,,,
938,teve,,,,
939,,,algo,em,.
940,Há,,de,,
941,algo,Há,novo,,
942,de,algo,,,
943,Há,,filmes,,
944,filmes,em,,,
945,filmes,em,,,
946,em,Há,estes,quatro,fez
947,fez,filmes,,,
948,fez,filmes,,,
949,filmes,em,que,Cacá_Diegues,para
950,fez,filmes,TV_Cultura,,
951,TV_Cultura,para,,,
952,para,fez,a,,
953,fez,filmes,,,
954,fez,filmes,canções,,
955,canções,em_cima_de,,,
956,em_cima_de,fez,quatro,de,
957,canções,em_cima_de,Gil,,
958,de,canções,",",Caetano,","
959,Gil,de,,,
960,Gil,de,,,
961,Gil,de,,,
962,Gil,de,,,
963,Gil,de,,,
964,Gil,de,,,
965,Há,,,,
966,Queremos,diz,,,
967,diz,,«,também,negociar
968,Queremos,diz,,,
969,Queremos,diz,com,rentabilidade,
970,negociar,Queremos,indústrias,,
971,indústrias,com,,,
972,com,negociar,as,,
973,negociar,Queremos,mínima,de,
974,rentabilidade,negociar,,,
975,rentabilidade,negociar,%,,
976,%,de,,,
977,de,rentabilidade,15,,
978,Queremos,diz,,,
979,diz,,,,
980,,,Queremos,",",Araújo
981,diz,,,,
982,diz,,,,
983,dia,reclamava,,,
984,reclamava,,Outro,mesmo,
985,dia,reclamava,,,
986,reclamava,,,,
987,reclamava,,Copa,,
988,Copa,durante,,,
989,durante,reclamava,a,,
990,reclamava,,,,
991,jornalista,reclamava,,,
992,reclamava,,um,inglês,escreve
993,jornalista,reclamava,,,
994,escreve,jornalista,,,
995,jornalista,reclamava,que,sobre,para
996,escreve,jornalista,futebol,,
997,futebol,sobre,,,
998,sobre,escreve,o,,
999,escreve,jornalista,jornais,,
1000,jornais,para,,,
1001,jornais,para,,,
1002,para,escreve,os,principais,de
1003,jornais,para,mundo,,
1004,mundo,de,,,
1005,de,jornais,o,,
1006,reclamava,,,,
1007,,,dia,",",durante
1008,reclamava,,autores,,
1009,autores,de,,,
1010,autores,de,,,
1011,de,reclamava,os,poucos,de
1012,autores,de,expressão,,
1013,de,autores,,,
1014,escreveram,autores,,,
1015,autores,de,que,sobre,
1016,escreveram,autores,fut,,
1017,fut,sobre,,,
1018,sobre,escreveram,o,,
1019,reclamava,,,,
1020,agentes,estão,,,
1021,estão,,Os,de,
1022,agentes,estão,turismo,,
1023,de,agentes,de,,
1024,turismo,de,Japão,,
1025,Japão,de,,,
1026,de,turismo,o,,
1027,,,agentes,dando,.
1028,estão,,tratos,a,para
1029,dando,estão,,,
1030,dando,estão,bola,,
1031,bola,a,,,
1032,a,dando,a,,
1033,dando,estão,tour,,
1034,tour,para,,,
1035,para,dando,novo,em,
