,FUNC-3,FUNC-2,FUNC-1,FUNC+1,FUNC+2,FUNC+3
92,SUBJ,N<,MV,PIV,>N,P<
93,N<,MV,ADVL,>N,P<,N<ARGO
94,MV,ADVL,PIV,P<,N<ARGO,P<
95,ADVL,PIV,>N,N<ARGO,P<,ADVL
96,PIV,>N,P<,P<,ADVL,N<
97,>N,P<,N<ARGO,ADVL,N<,PASS
98,P<,N<ARGO,P<,N<,PASS,P<
99,N<ARGO,P<,ADVL,PASS,P<,PU
100,P<,ADVL,N<,P<,PU,
101,ADVL,N<,PASS,PU,,
102,N<,PASS,P<,,,
103,,,,ACC,MV,>N
104,,,PU,MV,>N,SUBJ
105,,PU,ACC,>N,SUBJ,N<
106,PU,ACC,MV,SUBJ,N<,>N
107,ACC,MV,>N,N<,>N,P<
108,MV,>N,SUBJ,>N,P<,PU
109,>N,SUBJ,N<,P<,PU,N<PRED
110,SUBJ,N<,>N,PU,N<PRED,SC
111,N<,>N,P<,N<PRED,SC,SC
112,>N,P<,PU,SC,SC,N<
113,P<,PU,N<PRED,SC,N<,P<
114,PU,N<PRED,SC,N<,P<,N<ARGO
115,N<PRED,SC,SC,P<,N<ARGO,P<
116,SC,SC,N<,N<ARGO,P<,CO
117,SC,N<,P<,P<,CO,SUBJ
118,N<,P<,N<ARGO,CO,SUBJ,CJT
119,P<,N<ARGO,P<,SUBJ,CJT,ACC
120,N<ARGO,P<,CO,CJT,ACC,N<
121,P<,CO,SUBJ,ACC,N<,P<
122,CO,SUBJ,CJT,N<,P<,PU
123,SUBJ,CJT,ACC,P<,PU,PU
124,CJT,ACC,N<,PU,PU,STA
125,ACC,N<,P<,PU,STA,SUBJ
126,N<,P<,PU,STA,SUBJ,PU
127,P<,PU,PU,SUBJ,PU,
128,PU,PU,STA,PU,,
129,PU,STA,SUBJ,,,
130,,,,SUBJ,STA,>N
131,,,>N,STA,>N,ACC
132,,>N,SUBJ,>N,ACC,N<
133,>N,SUBJ,STA,ACC,N<,P<
134,SUBJ,STA,>N,N<,P<,CO
135,STA,>N,ACC,P<,CO,CJT
136,>N,ACC,N<,CO,CJT,P<
137,ACC,N<,P<,CJT,P<,N<
138,N<,P<,CO,P<,N<,ADVL
139,P<,CO,CJT,N<,ADVL,>N
140,CO,CJT,P<,ADVL,>N,P<
141,CJT,P<,N<,>N,P<,N<
142,P<,N<,ADVL,P<,N<,>N
143,N<,ADVL,>N,N<,>N,P<
144,ADVL,>N,P<,>N,P<,N<
145,>N,P<,N<,P<,N<,CO
146,P<,N<,>N,N<,CO,CJT
147,N<,>N,P<,CO,CJT,>N
148,>N,P<,N<,CJT,>N,ACC
149,P<,N<,CO,>N,ACC,N<
150,N<,CO,CJT,ACC,N<,P<
151,CO,CJT,>N,N<,P<,N<ARGO
152,CJT,>N,ACC,P<,N<ARGO,>N
153,>N,ACC,N<,N<ARGO,>N,P<
154,ACC,N<,P<,>N,P<,PU
155,N<,P<,N<ARGO,P<,PU,
156,P<,N<ARGO,>N,PU,,
157,N<ARGO,>N,P<,,,
158,,,,>N,P<,N<
159,,,ADVL,P<,N<,PU
160,,ADVL,>N,N<,PU,>N
161,ADVL,>N,P<,PU,>N,SUBJ
162,>N,P<,N<,>N,SUBJ,N<
163,P<,N<,PU,SUBJ,N<,>N
164,N<,PU,>N,N<,>N,P<
165,PU,>N,SUBJ,>N,P<,STA
166,>N,SUBJ,N<,P<,STA,PU
167,SUBJ,N<,>N,STA,PU,N<PRED
168,N<,>N,P<,PU,N<PRED,PU
169,>N,P<,STA,N<PRED,PU,>N
170,P<,STA,PU,PU,>N,ACC
171,STA,PU,N<PRED,>N,ACC,N<
172,PU,N<PRED,PU,ACC,N<,>N
173,N<PRED,PU,>N,N<,>N,P<
174,PU,>N,ACC,>N,P<,CO
175,>N,ACC,N<,P<,CO,CJT
176,ACC,N<,>N,CO,CJT,PU
177,N<,>N,P<,CJT,PU,N<PRED
178,>N,P<,CO,PU,N<PRED,PU
179,P<,CO,CJT,N<PRED,PU,>N
180,CO,CJT,PU,PU,>N,ACC
181,CJT,PU,N<PRED,>N,ACC,N<
182,PU,N<PRED,PU,ACC,N<,PU
183,N<PRED,PU,>N,N<,PU,
184,PU,>N,ACC,PU,,
185,>N,ACC,N<,,,
186,,,,P<,PU,SUBJ
187,,,PRED,PU,SUBJ,STA
188,,PRED,P<,SUBJ,STA,PU
189,PRED,P<,PU,STA,PU,SC
190,P<,PU,SUBJ,PU,SC,PU
191,PU,SUBJ,STA,SC,PU,PU
192,SUBJ,STA,PU,PU,PU,
193,STA,PU,SC,PU,,
194,PU,SC,PU,,,
195,,,,SUBJ,N<,>N
196,,,>N,N<,>N,P<
197,,>N,SUBJ,>N,P<,N<
198,>N,SUBJ,N<,P<,N<,>N
199,SUBJ,N<,>N,N<,>N,P<
200,N<,>N,P<,>N,P<,STA
201,>N,P<,N<,P<,STA,MV
202,P<,N<,>N,STA,MV,PASS
203,N<,>N,P<,MV,PASS,>N
204,>N,P<,STA,PASS,>N,P<
205,P<,STA,MV,>N,P<,N<
206,STA,MV,PASS,P<,N<,P<
207,MV,PASS,>N,N<,P<,PU
208,PASS,>N,P<,P<,PU,
209,>N,P<,N<,PU,,
210,P<,N<,P<,,,
211,,,,>N,P<,PU
212,,,ADVL,P<,PU,ADVL
213,,ADVL,>N,PU,ADVL,P<
214,ADVL,>N,P<,ADVL,P<,PU
215,>N,P<,PU,P<,PU,>N
216,P<,PU,ADVL,PU,>N,N<PRED
217,PU,ADVL,P<,>N,N<PRED,N<
218,ADVL,P<,PU,N<PRED,N<,>N
219,P<,PU,>N,N<,>N,P<
220,PU,>N,N<PRED,>N,P<,N<
221,>N,N<PRED,N<,P<,N<,>N
222,N<PRED,N<,>N,N<,>N,P<
223,N<,>N,P<,>N,P<,PU
224,>N,P<,N<,P<,PU,PU
225,P<,N<,>N,PU,PU,SUBJ
226,N<,>N,P<,PU,SUBJ,STA
227,>N,P<,PU,SUBJ,STA,>N
228,P<,PU,PU,STA,>N,ACC
229,PU,PU,SUBJ,>N,ACC,ADVL
230,PU,SUBJ,STA,ACC,ADVL,P<
231,SUBJ,STA,>N,ADVL,P<,CO
232,STA,>N,ACC,P<,CO,CJT
233,>N,ACC,ADVL,CO,CJT,PU
234,ACC,ADVL,P<,CJT,PU,
235,ADVL,P<,CO,PU,,
236,P<,CO,CJT,,,
237,,,,SUB,SUBJ,ACC
238,,,STA,SUBJ,ACC,SC
239,,STA,SUB,ACC,SC,A<
240,STA,SUB,SUBJ,SC,A<,CO
241,SUB,SUBJ,ACC,A<,CO,SUB
242,SUBJ,ACC,SC,CO,SUB,SUBJ
243,ACC,SC,A<,SUB,SUBJ,CJT
244,SC,A<,CO,SUBJ,CJT,SC
245,A<,CO,SUB,CJT,SC,CO
246,CO,SUB,SUBJ,SC,CO,SUB
247,SUB,SUBJ,CJT,CO,SUB,ADVL
248,SUBJ,CJT,SC,SUB,ADVL,CJT
249,CJT,SC,CO,ADVL,CJT,PIV
250,SC,CO,SUB,CJT,PIV,P<
251,CO,SUB,ADVL,PIV,P<,PU
252,SUB,ADVL,CJT,P<,PU,
253,ADVL,CJT,PIV,PU,,
254,CJT,PIV,P<,,,
255,,,,>N,P<,PU
256,,,ADVL,P<,PU,STA
257,,ADVL,>N,PU,STA,>N
258,ADVL,>N,P<,STA,>N,ACC
259,>N,P<,PU,>N,ACC,ADVL
260,P<,PU,STA,ACC,ADVL,>N
261,PU,STA,>N,ADVL,>N,P<
262,STA,>N,ACC,>N,P<,ADVL
263,>N,ACC,ADVL,P<,ADVL,>N
264,ACC,ADVL,>N,ADVL,>N,P<
265,ADVL,>N,P<,>N,P<,PU
266,>N,P<,ADVL,P<,PU,ADVL
267,P<,ADVL,>N,PU,ADVL,SUBJ
268,ADVL,>N,P<,ADVL,SUBJ,ADVL
269,>N,P<,PU,SUBJ,ADVL,PRT-AUX
270,P<,PU,ADVL,ADVL,PRT-AUX,MV
271,PU,ADVL,SUBJ,PRT-AUX,MV,PU
272,ADVL,SUBJ,ADVL,MV,PU,
273,SUBJ,ADVL,PRT-AUX,PU,,
274,ADVL,PRT-AUX,MV,,,
275,,,,SUBJ,N<ARGO,>N
276,,,>N,N<ARGO,>N,P<
277,,>N,SUBJ,>N,P<,N<
278,>N,SUBJ,N<ARGO,P<,N<,>N
279,SUBJ,N<ARGO,>N,N<,>N,P<
280,N<ARGO,>N,P<,>N,P<,N<
281,>N,P<,N<,P<,N<,CO
282,P<,N<,>N,N<,CO,CJT
283,N<,>N,P<,CO,CJT,>N
284,>N,P<,N<,CJT,>N,P<
285,P<,N<,CO,>N,P<,N<ARGS
286,N<,CO,CJT,P<,N<ARGS,P<
287,CO,CJT,>N,N<ARGS,P<,CO
288,CJT,>N,P<,P<,CO,CJT
289,>N,P<,N<ARGS,CO,CJT,STA
290,P<,N<ARGS,P<,CJT,STA,>N
291,N<ARGS,P<,CO,STA,>N,>N
292,P<,CO,CJT,>N,>N,ACC
293,CO,CJT,STA,>N,ACC,N<
294,CJT,STA,>N,ACC,N<,P<
295,STA,>N,>N,N<,P<,>N
296,>N,>N,ACC,P<,>N,ACC
297,>N,ACC,N<,>N,ACC,ADVL
298,ACC,N<,P<,ACC,ADVL,N<
299,N<,P<,>N,ADVL,N<,PIV
300,P<,>N,ACC,N<,PIV,>N
301,>N,ACC,ADVL,PIV,>N,PU
302,ACC,ADVL,N<,>N,PU,P<
303,ADVL,N<,PIV,PU,P<,N<
304,N<,PIV,>N,P<,N<,>N
305,PIV,>N,PU,N<,>N,P<
306,>N,PU,P<,>N,P<,PU
307,PU,P<,N<,P<,PU,PU
308,P<,N<,>N,PU,PU,
309,N<,>N,P<,PU,,
310,>N,P<,PU,,,
311,,,,SUBJ,ADVL,PU
312,,,ADVL,ADVL,PU,ADVL
313,,ADVL,SUBJ,PU,ADVL,>N
314,ADVL,SUBJ,ADVL,ADVL,>N,P<
315,SUBJ,ADVL,PU,>N,P<,PU
316,ADVL,PU,ADVL,P<,PU,SUBJ
317,PU,ADVL,>N,PU,SUBJ,N<ARG
318,ADVL,>N,P<,SUBJ,N<ARG,>N
319,>N,P<,PU,N<ARG,>N,P<
320,P<,PU,SUBJ,>N,P<,STA
321,PU,SUBJ,N<ARG,P<,STA,MV
322,SUBJ,N<ARG,>N,STA,MV,>N
323,N<ARG,>N,P<,MV,>N,ACC
324,>N,P<,STA,>N,ACC,PU
325,P<,STA,MV,ACC,PU,
326,STA,MV,>N,PU,,
327,MV,>N,ACC,,,
328,,,,>N,ACC,N<
329,,,STA,ACC,N<,>N
330,,STA,>N,N<,>N,PU
331,STA,>N,ACC,>N,PU,P<
332,>N,ACC,N<,PU,P<,N<
333,ACC,N<,>N,P<,N<,>N
334,N<,>N,PU,N<,>N,P<
335,>N,PU,P<,>N,P<,PU
336,PU,P<,N<,P<,PU,
337,P<,N<,>N,PU,,
338,N<,>N,P<,,,
339,,,,>N,SUBJ,N<
340,,,ADVL,SUBJ,N<,>N
341,,ADVL,>N,N<,>N,P<
342,ADVL,>N,SUBJ,>N,P<,N<
343,>N,SUBJ,N<,P<,N<,>N
344,SUBJ,N<,>N,N<,>N,P<
345,N<,>N,P<,>N,P<,STA
346,>N,P<,N<,P<,STA,PIV
347,P<,N<,>N,STA,PIV,>N
348,N<,>N,P<,PIV,>N,P<
349,>N,P<,STA,>N,P<,N<
350,P<,STA,PIV,P<,N<,P<
351,STA,PIV,>N,N<,P<,N<
352,PIV,>N,P<,P<,N<,P<
353,>N,P<,N<,N<,P<,PU
354,P<,N<,P<,P<,PU,
355,N<,P<,N<,PU,,
356,P<,N<,P<,,,
357,,,,SUBJ,ADVL,STA
358,,,>N,ADVL,STA,PIV
359,,>N,SUBJ,STA,PIV,>N
360,>N,SUBJ,ADVL,PIV,>N,PU
361,SUBJ,ADVL,STA,>N,PU,P<
362,ADVL,STA,PIV,PU,P<,N<
363,STA,PIV,>N,P<,N<,>N
364,PIV,>N,PU,N<,>N,>N
365,>N,PU,P<,>N,>N,P<
366,PU,P<,N<,>N,P<,PU
367,P<,N<,>N,P<,PU,PU
368,N<,>N,>N,PU,PU,SUBJ
369,>N,>N,P<,PU,SUBJ,N<PRED
370,>N,P<,PU,SUBJ,N<PRED,MV
371,P<,PU,PU,N<PRED,MV,ADVL
372,PU,PU,SUBJ,MV,ADVL,A<
373,PU,SUBJ,N<PRED,ADVL,A<,>N
374,SUBJ,N<PRED,MV,A<,>N,P<
375,N<PRED,MV,ADVL,>N,P<,N<
376,MV,ADVL,A<,P<,N<,PU
377,ADVL,A<,>N,N<,PU,CO
378,A<,>N,P<,PU,CO,CJT
379,>N,P<,N<,CO,CJT,>N
380,P<,N<,PU,CJT,>N,>N
381,N<,PU,CO,>N,>N,SUBJ
382,PU,CO,CJT,>N,SUBJ,N<
383,CO,CJT,>N,SUBJ,N<,ACC
384,CJT,>N,>N,N<,ACC,>N
385,>N,>N,SUBJ,ACC,>N,SUBJ
386,>N,SUBJ,N<,>N,SUBJ,P<
387,SUBJ,N<,ACC,SUBJ,P<,>N
388,N<,ACC,>N,P<,>N,ACC
389,ACC,>N,SUBJ,>N,ACC,N<
390,>N,SUBJ,P<,ACC,N<,ADVL
391,SUBJ,P<,>N,N<,ADVL,>N
392,P<,>N,ACC,ADVL,>N,>N
393,>N,ACC,N<,>N,>N,P<
394,ACC,N<,ADVL,>N,P<,PU
395,N<,ADVL,>N,P<,PU,
396,ADVL,>N,>N,PU,,
397,>N,>N,P<,,,
398,,,,>N,SUBJ,STA
399,,,SUB,SUBJ,STA,>N
400,,SUB,>N,STA,>N,ACC
401,SUB,>N,SUBJ,>N,ACC,CO
402,>N,SUBJ,STA,ACC,CO,CJT
403,SUBJ,STA,>N,CO,CJT,PIV
404,STA,>N,ACC,CJT,PIV,>N
405,>N,ACC,CO,PIV,>N,P<
406,ACC,CO,CJT,>N,P<,N<
407,CO,CJT,PIV,P<,N<,>N
408,CJT,PIV,>N,N<,>N,P<
409,PIV,>N,P<,>N,P<,CO
410,>N,P<,N<,P<,CO,SUB
411,P<,N<,>N,CO,SUB,PU
412,N<,>N,P<,SUB,PU,ADVL
413,>N,P<,CO,PU,ADVL,PU
414,P<,CO,SUB,ADVL,PU,CJT
415,CO,SUB,PU,PU,CJT,SC
416,SUB,PU,ADVL,CJT,SC,P<
417,PU,ADVL,PU,SC,P<,PU
418,ADVL,PU,CJT,P<,PU,
419,PU,CJT,SC,PU,,
420,CJT,SC,P<,,,
421,,,,STA,PIV,>N
422,,,SUBJ,PIV,>N,P<
423,,SUBJ,STA,>N,P<,N<
424,SUBJ,STA,PIV,P<,N<,P<
425,STA,PIV,>N,N<,P<,CO
426,PIV,>N,P<,P<,CO,CJT
427,>N,P<,N<,CO,CJT,PU
428,P<,N<,P<,CJT,PU,ADVL
429,N<,P<,CO,PU,ADVL,PU
430,P<,CO,CJT,ADVL,PU,ADVL
431,CO,CJT,PU,PU,ADVL,>N
432,CJT,PU,ADVL,ADVL,>N,P<
433,PU,ADVL,PU,>N,P<,PU
434,ADVL,PU,ADVL,P<,PU,
435,PU,ADVL,>N,PU,,
436,ADVL,>N,P<,,,
437,,,,>N,ACC,N<
438,,,STA,ACC,N<,CO
439,,STA,>N,N<,CO,>N
440,STA,>N,ACC,CO,>N,CJT
441,>N,ACC,N<,>N,CJT,PU
442,ACC,N<,CO,CJT,PU,
443,N<,CO,>N,PU,,
444,CO,>N,CJT,,,
445,,,,ACC,STA,ADVL
446,,,ADVL,STA,ADVL,PIV
447,,ADVL,ACC,ADVL,PIV,>N
448,ADVL,ACC,STA,PIV,>N,P<
449,ACC,STA,ADVL,>N,P<,N<
450,STA,ADVL,PIV,P<,N<,>N
451,ADVL,PIV,>N,N<,>N,SUBJ
452,PIV,>N,P<,>N,SUBJ,ADVL
453,>N,P<,N<,SUBJ,ADVL,P<
454,P<,N<,>N,ADVL,P<,MV
455,N<,>N,SUBJ,P<,MV,ACC
456,>N,SUBJ,ADVL,MV,ACC,N<
457,SUBJ,ADVL,P<,ACC,N<,ACC
458,ADVL,P<,MV,N<,ACC,>N
459,P<,MV,ACC,ACC,>N,P<
460,MV,ACC,N<,>N,P<,N<
461,ACC,N<,ACC,P<,N<,PU
462,N<,ACC,>N,N<,PU,CJT
463,ACC,>N,P<,PU,CJT,PIV
464,>N,P<,N<,CJT,PIV,SUBJ
465,P<,N<,PU,PIV,SUBJ,P<
466,N<,PU,CJT,SUBJ,P<,MV
467,PU,CJT,PIV,P<,MV,>N
468,CJT,PIV,SUBJ,MV,>N,>N
469,PIV,SUBJ,P<,>N,>N,ACC
470,SUBJ,P<,MV,>N,ACC,N<
471,P<,MV,>N,ACC,N<,ACC
472,MV,>N,>N,N<,ACC,>N
473,>N,>N,ACC,ACC,>N,>N
474,>N,ACC,N<,>N,>N,P<
475,ACC,N<,ACC,>N,P<,CO
476,N<,ACC,>N,P<,CO,>N
477,ACC,>N,>N,CO,>N,CJT
478,>N,>N,P<,>N,CJT,N<
479,>N,P<,CO,CJT,N<,>N
480,P<,CO,>N,N<,>N,P<
481,CO,>N,CJT,>N,P<,PU
482,>N,CJT,N<,P<,PU,CO
483,CJT,N<,>N,PU,CO,>A
484,N<,>N,P<,CO,>A,CJT
485,>N,P<,PU,>A,CJT,PIV
486,P<,PU,CO,CJT,PIV,>N
487,PU,CO,>A,PIV,>N,P<
488,CO,>A,CJT,>N,P<,N<
489,>A,CJT,PIV,P<,N<,>N
490,CJT,PIV,>N,N<,>N,SUBJ
491,PIV,>N,P<,>N,SUBJ,P<
492,>N,P<,N<,SUBJ,P<,X
493,P<,N<,>N,P<,X,CO
494,N<,>N,SUBJ,X,CO,CJT
495,>N,SUBJ,P<,CO,CJT,>N
496,SUBJ,P<,X,CJT,>N,ACC
497,P<,X,CO,>N,ACC,N<
498,X,CO,CJT,ACC,N<,>N
499,CO,CJT,>N,N<,>N,P<
500,CJT,>N,ACC,>N,P<,N<
501,>N,ACC,N<,P<,N<,ACC
502,ACC,N<,>N,N<,ACC,>N
503,N<,>N,P<,ACC,>N,SUBJ
504,>N,P<,N<,>N,SUBJ,N<
505,P<,N<,ACC,SUBJ,N<,N<
506,N<,ACC,>N,N<,N<,MV
507,ACC,>N,SUBJ,N<,MV,ADVL
508,>N,SUBJ,N<,MV,ADVL,>N
509,SUBJ,N<,N<,ADVL,>N,P<
510,N<,N<,MV,>N,P<,N<
511,N<,MV,ADVL,P<,N<,N<
512,MV,ADVL,>N,N<,N<,>N
513,ADVL,>N,P<,N<,>N,P<
514,>N,P<,N<,>N,P<,PU
515,P<,N<,N<,P<,PU,
516,N<,N<,>N,PU,,
517,N<,>N,P<,,,
518,,,,N<,P<,PU
519,,,PRED,P<,PU,SUBJ
520,,PRED,N<,PU,SUBJ,STA
521,PRED,N<,P<,SUBJ,STA,>N
522,N<,P<,PU,STA,>N,ACC
523,P<,PU,SUBJ,>N,ACC,ADVL
524,PU,SUBJ,STA,ACC,ADVL,>N
525,SUBJ,STA,>N,ADVL,>N,SUBJ
526,STA,>N,ACC,>N,SUBJ,PU
527,>N,ACC,ADVL,SUBJ,PU,>N
528,ACC,ADVL,>N,PU,>N,CJT
529,ADVL,>N,SUBJ,>N,CJT,CO
530,>N,SUBJ,PU,CJT,CO,>N
531,SUBJ,PU,>N,CO,>N,CJT
532,PU,>N,CJT,>N,CJT,ADVL
533,>N,CJT,CO,CJT,ADVL,PIV
534,CJT,CO,>N,ADVL,PIV,P<
535,CO,>N,CJT,PIV,P<,PU
536,>N,CJT,ADVL,P<,PU,N<PRED
537,CJT,ADVL,PIV,PU,N<PRED,A<
538,ADVL,PIV,P<,N<PRED,A<,P<
539,PIV,P<,PU,A<,P<,PU
540,P<,PU,N<PRED,P<,PU,ADVL
541,PU,N<PRED,A<,PU,ADVL,>N
542,N<PRED,A<,P<,ADVL,>N,P<
543,A<,P<,PU,>N,P<,PU
544,P<,PU,ADVL,P<,PU,ADVL
545,PU,ADVL,>N,PU,ADVL,P<
546,ADVL,>N,P<,ADVL,P<,SC
547,>N,P<,PU,P<,SC,SC
548,P<,PU,ADVL,SC,SC,ADVL
549,PU,ADVL,P<,SC,ADVL,>N
550,ADVL,P<,SC,ADVL,>N,P<
551,P<,SC,SC,>N,P<,N<
552,SC,SC,ADVL,P<,N<,PU
553,SC,ADVL,>N,N<,PU,
554,ADVL,>N,P<,PU,,
555,>N,P<,N<,,,
556,,,,P<,PU,N<PRED
557,,,ADVL,PU,N<PRED,N<
558,,ADVL,P<,N<PRED,N<,>N
559,ADVL,P<,PU,N<,>N,P<
560,P<,PU,N<PRED,>N,P<,N<
561,PU,N<PRED,N<,P<,N<,>N
562,N<PRED,N<,>N,N<,>N,P<
563,N<,>N,P<,>N,P<,PU
564,>N,P<,N<,P<,PU,APP
565,P<,N<,>N,PU,APP,PU
566,N<,>N,P<,APP,PU,PU
567,>N,P<,PU,PU,PU,>N
568,P<,PU,APP,PU,>N,SUBJ
569,PU,APP,PU,>N,SUBJ,ACC
570,APP,PU,PU,SUBJ,ACC,STA
571,PU,PU,>N,ACC,STA,PIV
572,PU,>N,SUBJ,STA,PIV,P<
573,>N,SUBJ,ACC,PIV,P<,N<
574,SUBJ,ACC,STA,P<,N<,>N
575,ACC,STA,PIV,N<,>N,P<
576,STA,PIV,P<,>N,P<,ADVL
577,PIV,P<,N<,P<,ADVL,P<
578,P<,N<,>N,ADVL,P<,ACC
579,N<,>N,P<,P<,ACC,N<
580,>N,P<,ADVL,ACC,N<,N<
581,P<,ADVL,P<,N<,N<,>N
582,ADVL,P<,ACC,N<,>N,P<
583,P<,ACC,N<,>N,P<,PU
584,ACC,N<,N<,P<,PU,
585,N<,N<,>N,PU,,
586,N<,>N,P<,,,
587,,,,A<,P<,PU
588,,,ADVL,P<,PU,>N
589,,ADVL,A<,PU,>N,SUBJ
590,ADVL,A<,P<,>N,SUBJ,STA
591,A<,P<,PU,SUBJ,STA,OC
592,P<,PU,>N,STA,OC,>N
593,PU,>N,SUBJ,OC,>N,ACC
594,>N,SUBJ,STA,>N,ACC,N<
595,SUBJ,STA,OC,ACC,N<,>N
596,STA,OC,>N,N<,>N,P<
597,OC,>N,ACC,>N,P<,N<
598,>N,ACC,N<,P<,N<,>N
599,ACC,N<,>N,N<,>N,P<
600,N<,>N,P<,>N,P<,SUB
601,>N,P<,N<,P<,SUB,>N
602,P<,N<,>N,SUB,>N,SUBJ
603,N<,>N,P<,>N,SUBJ,ADVL
604,>N,P<,SUB,SUBJ,ADVL,>N
605,P<,SUB,>N,ADVL,>N,SC
606,SUB,>N,SUBJ,>N,SC,N<
607,>N,SUBJ,ADVL,SC,N<,N<
608,SUBJ,ADVL,>N,N<,N<,P<
609,ADVL,>N,SC,N<,P<,N<
610,>N,SC,N<,P<,N<,PU
611,SC,N<,N<,N<,PU,
612,N<,N<,P<,PU,,
613,N<,P<,N<,,,
614,,,,>N,P<,N<
615,,,ADVL,P<,N<,P<
616,,ADVL,>N,N<,P<,PU
617,ADVL,>N,P<,P<,PU,ADVL
618,>N,P<,N<,PU,ADVL,>N
619,P<,N<,P<,ADVL,>N,P<
620,N<,P<,PU,>N,P<,PU
621,P<,PU,ADVL,P<,PU,SUBJ
622,PU,ADVL,>N,PU,SUBJ,PU
623,ADVL,>N,P<,SUBJ,PU,STA
624,>N,P<,PU,PU,STA,PU
625,P<,PU,SUBJ,STA,PU,>N
626,PU,SUBJ,PU,PU,>N,ACC
627,SUBJ,PU,STA,>N,ACC,N<
628,PU,STA,PU,ACC,N<,>N
629,STA,PU,>N,N<,>N,P<
630,PU,>N,ACC,>N,P<,PU
631,>N,ACC,N<,P<,PU,
632,ACC,N<,>N,PU,,
